4,Radegast Hall and Biergarten,"['113 N 3rd St', 'Brooklyn, NY 11249']",TOaQzGPAIQWQUIXi4CPnbA,4.0,1336,"{'latitude': 40.716641, 'longitude': -73.961498}",$$
5,At the Wallace,"['3612 Broadway', 'New York, NY 10031']",hhNhU-Lili1DimLWkdmERA,4.5,204,"{'latitude': 40.8286495970992, 'longitude': -73.9485832208136}",$$
6,Union Grounds,"['270 Smith St', 'New York, NY 11231']",-mttoQ5KTGlOJqbuYE3o9Q,4.0,69,"{'latitude': 40.6826515, 'longitude': -73.9933624}",$$
7,Murphy's Tavern,"['6 Stone St', 'New York, NY 10004']",9W-iYE7L_xHk6AY5wTUjkw,4.0,183,"{'latitude': 40.70389, 'longitude': -74.01248}",$$
8,Wheeler's Restaurant,"['1707 Sheepshead Bay Rd', 'Brooklyn, NY 11235']",ugzHlkx2ILYzs72_8hxV8w,4.0,189,"{'latitude': 40.5857567, 'longitude': -73.95157}",$$
9,Upland,"['345 Park Ave S', 'New York, NY 10010']",xkvv0n7jbl4Ra3Vm_jfxaA,4.0,1044,"{'latitude': 40.7418912, 'longitude': -73.9846396}",$$$
10,Sunny's Bar,"['253 Conover St', 'Brooklyn, NY 11231']",BHpAlynD9dIGIaQDRqHCTA,4.5,158,"{'latitude': 40.67569, 'longitude': -74.01689}",$
11,Tap Haus 33,"['14 E 33rd St', 'New York, NY 10016']",lNP1km2kaEtlsBw2VNHHhQ,4.5,215,"{'latitude': 40.747247, 'longitude': -73.9843}",$$
12,Brooklyn Ice House,"['318 Van Brunt St', 'Brooklyn, NY 11231']",Hc2KkfFWYnWYtL11_F40Ew,4.5,226,"{'latitude': 40.67919, 'longitude': -74.011099}",$
13,The Spring Lounge,"['48 Spring St', 'New York, NY 10012']",XZBxx5rdGBBnT2RPSdV8EQ,3.5,247,"{'latitude': 40.7219399, 'longitude': -73.99642}",$$
14,"Floyd, NY","['131 Atlantic Ave', 'Brooklyn, NY 11201']",YL1LxYufuwX5sq4RwW-2Gw,4.0,210,"{'latitude': 40.6907799, 'longitude': -73.9957}",$
15,White Horse Tavern - Financial District,"['25 Bridge St', 'New York, NY 10004']",lHGQM__w1x5Dxiq3aRPCTQ,4.0,374,"{'latitude': 40.70372, 'longitude': -74.01237}",$
16,Smithfield Hall,"['138 W 25th St', 'New York, NY 10001']",GlSWzWVmQsKLGxySYSGRbQ,4.0,478,"{'latitude': 40.7447532620452, 'longitude': -73.9934939850447}",$$
17,Jackbar,"['143 Havemeyer St', 'Brooklyn, NY 11211']",xHVQHe0vhtIPPtK9wUqb7A,4.5,109,"{'latitude': 40.7118301391602, 'longitude': -73.9571762084961}",$
18,Westville Dumbo,"['81 Washington St', 'Brooklyn, NY 11201']",56qlj1cYlqNzmG0xllGg-w,4.0,328,"{'latitude': 40.70208865020039, 'longitude': -73.9894541379247}",$$
19,Killarney Rose,"['127 Pearl St', 'New York, NY 10005']",Z_W3doydEDnnG7PPc3fW5Q,3.5,151,"{'latitude': 40.705221802732, 'longitude': -74.008625345126}",$$
20,Dinosaur Bar-B-Que,"['700 W 125th St', 'New York, NY 10027']",XzUW9MvEGOFs9_aNj11j2Q,4.0,3120,"{'latitude': 40.818098338924, 'longitude': -73.9608729269837}",$$
21,Spyglass Rooftop Bar,"['47 W 38th St', 'Fl 22', 'New York, NY 10018']",1uel_UB-poAUNyB3zXk_5Q,3.5,226,"{'latitude': 40.75207729927697, 'longitude': -73.98471974723861}",$$$
22,Triona's,"['237 Sullivan St', 'New York, NY 10012']",_xRGTDjG-nYMgCCNcmCoNQ,4.0,112,"{'latitude': 40.72989, 'longitude': -73.99938}",$
23,Brass Monkey,"['55 Little W 12th St', 'New York, NY 10014']",VYHY4LbrRWZCoZzW25zynQ,3.0,840,"{'latitude': 40.7406584244867, 'longitude': -74.0085168948392}",$$
24,Broome Street Bar,"['363 W Broadway', 'New York, NY 10013']",t9m2CumYaktkVO1hs_I4Jw,3.5,255,"{'latitude': 40.723074, 'longitude': -74.002971}",$$
25,Black Tap - Soho,"['529 Broome St', 'New York, NY 10013']",D2qV8sDdHEFlHbVz7VSHRQ,4.0,1204,"{'latitude': 40.723794, 'longitude': -74.004193}",$$
26,Clinton Hall,"['16 W 36th St', 'New York, NY 10018']",bpjDo7svAFD10eszaOPQHw,4.0,198,"{'latitude': 40.75009, 'longitude': -73.98471}",$$
27,District Tap House,"['246 W 38th St', 'New York, NY 10018']",Z65cd3Z7JvwK8TnSVg-cfA,4.0,818,"{'latitude': 40.75409, 'longitude': -73.99039}",$$
28,Harry's,"['1 Hanover Sq', 'New York, NY 10004']",pNYcGGAj4AYaExlmrEmfUw,4.0,697,"{'latitude': 40.704512, 'longitude': -74.009834}",$$$
29,Kent Ale House,"['51 Kent Ave', 'Brooklyn, NY 11249']",SBLoGGk936tFHg0gYSZ-ow,4.0,179,"{'latitude': 40.7223281860352, 'longitude': -73.9592514038086}",$$
30,The Malt House,"['206 Thompson St', 'New York, NY 10012']",NT2mKx3_kxO9tpjeP2Sv6Q,4.0,429,"{'latitude': 40.728647, 'longitude': -73.999383}",$$
31,Earl's Beer & Cheese,"['1259 Park Ave', 'New York, NY 10029']",DpZBA0-f7Um9lvnp1zZM2A,4.5,599,"{'latitude': 40.78729, 'longitude': -73.95152}",$$
32,duckduck bar,"['153 Montrose Ave', 'Brooklyn, NY 11206']",K2fPgVQF2Ao04sdc5ajN8w,4.0,231,"{'latitude': 40.7074988047929, 'longitude': -73.9427649602294}",$
