,Name,Address,Business ID,Rating,Review Count,Coordinates,Price
66,Midway Cafe,"['3496 Washington St', 'Jamaica Plain, MA 02130']",K8qPnx9EUWhQ-NkRYw-q7A,4.0,85,"{'latitude': 42.3061329, 'longitude': -71.1075658}",1
67,Area Four,"['500 Technology Sq', 'Cambridge, MA 02139']",WYnXpXym2DMtwchDcbilmg,4.0,939,"{'latitude': 42.363073, 'longitude': -71.0924589}",2
68,Lulu's Allston,"['421 Cambridge St', 'Boston, MA 02134']",FioFvBhgVPV2dZW3mxjxQQ,4.0,501,"{'latitude': 42.3550647, 'longitude': -71.1341649}",2
69,Kings Dining & Entertainment - Boston Seaport,"['60 Seaport Blvd', 'Boston, MA 02210']",mmJ2ixPN8NIkEEIM4oHd8g,4.0,202,"{'latitude': 42.3515879, 'longitude': -71.0447779}",2
70,Porters Bar & Grill,"['173 Portland St', 'Boston, MA 02114']",9VGECwLbj29RljD2WVSzaw,4.0,250,"{'latitude': 42.3642896, 'longitude': -71.061702}",2
71,Rock Bottom Restaurant & Brewery,"['115 Stuart St', 'Boston, MA 02116']",DZm67Anqn1IQTB9iGvw4Fw,3.0,652,"{'latitude': 42.351279, 'longitude': -71.065284}",2
72,State Street Provisions,"['255 State St', 'Long Wharf', 'Boston, MA 02109']",-S_m_GBqkGEjABeO0FaxzA,4.0,527,"{'latitude': 42.35944, 'longitude': -71.05113}",2
73,Moonshine 152,"['152 Dorchester Ave', 'Boston, MA 02127']",1C32E52HmhRC3GNwkX2nZg,4.5,412,"{'latitude': 42.34133, 'longitude': -71.0569151}",2
74,Warehouse Bar & Grille,"['40 Broad St', 'Boston, MA 02109']",uUMnZINNYCvgdX7jla4PLA,3.5,193,"{'latitude': 42.35850045521629, 'longitude': -71.05399911979244}",2
75,Dillon's,"['955 Boylston St', 'Boston, MA 02115']",M0fRUDEo9mbnZFXhvshlFw,3.0,474,"{'latitude': 42.3479653914953, 'longitude': -71.0858754834292}",2
76,Citizen Public House & Oyster Bar,"['1310 Boylston St', 'Boston, MA 02215']",WESPiF4WcuAYb_r6N4SqgQ,3.5,650,"{'latitude': 42.3442, 'longitude': -71.09795}",2
77,Corner Cafe,"['87 Prince St', 'Boston, MA 02113']",UoAbVHm6A04avk-QIhiWYQ,4.0,67,"{'latitude': 42.3656005859375, 'longitude': -71.0561828613281}",1
78,The Brewer's Fork,"['7 Moulton St', 'Boston, MA 02129']",IJ2MnBlIvib0aU2hbmr0hg,4.5,392,"{'latitude': 42.37671, 'longitude': -71.05649}",2
79,Franklin Cafe,"['278 Shawmut Ave', 'Boston, MA 02118']",fmw_0vST7GjdibObHWLOuQ,4.0,510,"{'latitude': 42.34291, 'longitude': -71.06895}",2
80,The Mission Bar & Grill,"['724 Huntington Ave', 'Boston, MA 02120']",nmSiYGAo8YA4oCXjAAgY5g,3.5,337,"{'latitude': 42.33375, 'longitude': -71.10523}",2
81,Yvonne's,"['2 Winter Pl', 'Boston, MA 02108']",nIS4O-TwLYkA_P1Cu0SfhA,4.0,1023,"{'latitude': 42.355517, 'longitude': -71.0614361}",3
82,Flann O'Brien's,"['1619 Tremont St', 'Roxbury Crossing, MA 02120']",DMMIU3G8CngajT2ymBfXxw,3.5,149,"{'latitude': 42.33386, 'longitude': -71.103309}",2
83,4th Wall Restaurant & Bar,"['228 Tremont St', 'Boston, MA 02116']",X0mY5Pf7Fj_kfWmwDEqwdQ,4.0,95,"{'latitude': 42.35134, 'longitude': -71.06458}",2
84,Mj O'connor's - Boston,"['27 Columbus Ave', 'Boston, MA 02116']",uMZoY7AyG08rnN-YiQN7fA,3.0,268,"{'latitude': 42.3511597728604, 'longitude': -71.0689188256007}",2
85,Bar Mezzana,"['360 Harrison Ave', 'Boston, MA 02118']",bZhUufqdpg5qxsDKpIRv5A,4.5,348,"{'latitude': 42.3445756001492, 'longitude': -71.0635791144088}",3
86,The Landing,"['One Long Wharf', 'Boston, MA 02110']",g_1zgYJqkm3w9FeKaOYgcA,3.5,134,"{'latitude': 42.359803, 'longitude': -71.050338}",2
87,Boston Burger - Boston,"['1100 Boylston St', 'Boston, MA 02215']",Dvwj6KWrDZHVQwlSjYS4Iw,4.0,1039,"{'latitude': 42.346827, 'longitude': -71.0884733}",2
88,Clerys,"['113 Dartmouth St', 'Boston, MA 02116']",t77sOZmbHMB6n3whAQT8MA,3.0,443,"{'latitude': 42.3463019932994, 'longitude': -71.0754544879197}",2
89,Tavern In The Square,"['120 Beverly St', 'Boston, MA 02114']",IvvgLWS3J6qR4dhYMlDOPA,3.5,274,"{'latitude': 42.36572, 'longitude': -71.060117}",2
90,The Puddingstone Tavern,"['1592 Tremont St', 'Boston, MA 02120']",nvSIoGq_vt_VTrJBqgF4Gg,4.0,25,"{'latitude': 42.333423614502, 'longitude': -71.1031951904297}",2
91,The Muddy Charles Pub at MIT,"['142 Memorial Dr', 'Cambridge, MA 02139']",suopVZZ_uvIwCaiDzBWurA,4.0,61,"{'latitude': 42.3591735573941, 'longitude': -71.0880663796093}",1
92,Harry's Bar & Grill,"['1430 Commonwealth Ave', 'Brighton, MA 02135']",E3DdyR6aT7NpLNN39cMTcQ,4.0,327,"{'latitude': 42.3483007201325, 'longitude': -71.1399161799289}",2
93,The Friendly Toast,"['35 Stanhope St', 'Back Bay, MA 02116']",xlOMKjE4omTgkI1eduWj8A,4.0,1828,"{'latitude': 42.3483479318913, 'longitude': -71.0732730478048}",2
94,Brendan Behan Pub,"['378 Centre St', 'Jamaica Plain, MA 02130']",4HnToN8bByaPRTTehukvXw,4.0,192,"{'latitude': 42.32196, 'longitude': -71.10927}",1
95,Saus,"['33 Union St', 'Boston, MA 02108']",VFvCFOYtyK9ae4Skxvf3vA,4.0,1257,"{'latitude': 42.3610800091721, 'longitude': -71.0570718850568}",2
96,Ward 8,"['90 N Washington St', 'Boston, MA 02113']",MkjhW1dVbl3e0AxBL0oXKw,4.0,490,"{'latitude': 42.3653984, 'longitude': -71.0586472}",2
97,Limelight Stage + Studios,"['204 Tremont St', 'Boston, MA 02116']",YjUrrZIO2O9ls4hiz8nMtA,3.0,230,"{'latitude': 42.3520584799329, 'longitude': -71.0644841194153}",2
98,Sports Connection Bar & Grill,"['560 Dorchester Ave', 'Boston, MA 02127']",mfVplR2yhNMfTVRkCLh90w,4.0,11,"{'latitude': 42.33047, 'longitude': -71.05672}",1
99,GrandTen Distilling,"['383 Dorchester Ave', 'Boston, MA 02127']",KeC3GrFHGRl-vRT8LIuB3g,5.0,103,"{'latitude': 42.3350791931152, 'longitude': -71.0572052001953}",2
100,The Point,"['147 Hanover St', 'Boston, MA 02108']",arnbjQR2n0-6-iqdBB_gHw,3.5,206,"{'latitude': 42.36166, 'longitude': -71.05708}",2
101,RumBa,"['510 Atlantic Ave', 'InterContinental Boston', 'Boston, MA 02210']",f0Av9RuE2a6KSULJsOyZzg,3.5,103,"{'latitude': 42.354093, 'longitude': -71.051903}",3
102,Boston Sail Loft,"['80 Atlantic Ave', 'Boston, MA 02110']",aGYdF_fNHDhFCAnXoTCkGA,4.0,852,"{'latitude': 42.362464, 'longitude': -71.050536}",2
103,Harvard Gardens,"['316 Cambridge St', 'Boston, MA 02114']",IjshhPQwClaUK1v7z_7CpQ,3.5,448,"{'latitude': 42.3609451, 'longitude': -71.0688988}",2
104,Cornwall's,"['644 Beacon St', 'Boston, MA 02215']",lcJ9Aaf-NC4233RyLdaq0Q,3.5,220,"{'latitude': 42.34938, 'longitude': -71.09589}",2
105,The Bullpen,"['19-21 Jersey St', 'Boston, MA 02215']",ev0CyR6RXtt-2mjQciY3nw,4.5,17,"{'latitude': 42.34613, 'longitude': -71.09884}",1
106,Earls Kitchen + Bar,"['800 Boylston St', 'Unit 107', 'Boston, MA 02199']",m1ertlgQIxAl74D7nCsvbQ,4.0,912,"{'latitude': 42.34751, 'longitude': -71.08135}",2
107,Emmet's Irish Pub & Restaurant,"['6 Beacon St', 'Boston, MA 02108']",n6iTeADfaVagZjsoZZ631A,4.0,301,"{'latitude': 42.3582161, 'longitude': -71.0612726}",2
108,Kelley Square Pub,"['84 Bennington St', 'East Boston, MA 02128']",Tyf0P9SMnc9Q7jXF6JO3cw,4.0,176,"{'latitude': 42.3762017229843, 'longitude': -71.0357013997035}",2
109,The Junction,"['110 Dorchester St', 'Boston, MA 02127']",VwcuTadW8apQeNvt0IRfKQ,4.0,83,"{'latitude': 42.335090637207, 'longitude': -71.0459518432617}",2
110,The Bell In Hand,"['45 Union St', 'Boston, MA 02108']",uCJqYrBSITSrJBHyMPznwg,3.5,927,"{'latitude': 42.361215013631, 'longitude': -71.0569801166266}",2
111,Cathedral Station,"['1222 Washington St', 'Boston, MA 02118']",B5yYnr3KY1RuGy6L1Y8AWw,3.5,51,"{'latitude': 42.3428190425811, 'longitude': -71.066907314402}",2
112,Trillium Brewing - Fort Point,"['50 Thomson Pl', 'Boston, MA 02210']",Gs4lOF2OuftG6iQl-iOVdQ,4.0,434,"{'latitude': 42.3510247187811, 'longitude': -71.0441803851201}",2
113,Silvertone,"['69 Bromfield St', 'Boston, MA 02108']",_RWkck7niE8VJG3zLXK2ig,4.0,862,"{'latitude': 42.3571471, 'longitude': -71.0608731}",2
114,Anchovies,"['433 Columbus Ave', 'Boston, MA 02116']",EYMC8NHn6U-4WpLo54dQtw,4.0,396,"{'latitude': 42.343939, 'longitude': -71.077598}",2
115,The Sevens Ale House,"['77 Charles St', 'Boston, MA 02114']",OxobKchEqJU2BZi6qc0QBA,3.5,280,"{'latitude': 42.358163031345, 'longitude': -71.070565798128}",2
116,JJ Foley's Fireside Tavern,"['30 Hyde Park Ave', 'Jamaica Plain, MA 02130']",5Sa00ZJMBNHhCfY9jpCq9w,3.5,39,"{'latitude': 42.2991473, 'longitude': -71.1138975}",1
117,Russell House Tavern,"['14 Jfk St', 'Cambridge, MA 02138']",_9ZZv5V-uM5BXx3P-HslIw,4.0,1974,"{'latitude': 42.373113889528, 'longitude': -71.119494214654}",2
118,The Lansdowne Pub,"['9 Lansdowne St', 'Boston, MA 02215']",w2uRbCHkWjjHzHnYRsG-EQ,3.5,371,"{'latitude': 42.347327, 'longitude': -71.095093}",2
119,Renegade's Pub,"['1004 Bennington St', 'Boston, MA 02128']",CJ0DuAPIract7wPMWgsXbg,4.0,96,"{'latitude': 42.38689, 'longitude': -71.0068}",1
120,Yard House,"['126 Brookline Ave', 'Boston-Fenway, MA 02215']",n4XrNsqY2Oi1DB7-2hJzTw,3.5,821,"{'latitude': 42.3453025325918, 'longitude': -71.1003178238538}",2
121,Olde Magoun's Saloon,"['518 Medford St', 'Somerville, MA 02145']",hkduXqDA7Ssmb-2hqpGMDg,4.0,422,"{'latitude': 42.3966331481934, 'longitude': -71.1041030883789}",2
122,A4cade by Area Four,"['292 Massachusetts Ave', 'Cambridge, MA 02139']",3UtlwidZDSxtT9ukO79bHA,3.5,190,"{'latitude': 42.362077, 'longitude': -71.098395}",2
123,The Hill Tavern,"['228 Cambridge St', 'Boston, MA 02114']",aehgQxttnq8h6LEKsu9T7g,3.5,250,"{'latitude': 42.36098, 'longitude': -71.06666}",2
124,The Black Rose,"['160 State St', 'Boston, MA 02109']",pgb_V3Wk56X5HK1NfLFgcw,3.5,704,"{'latitude': 42.3594142632159, 'longitude': -71.0536410447498}",2
125,Lucky's Lounge,"['355 Congress St', 'Boston, MA 02210']",Go8U9oJd4CfpO1ik4Z8iKA,3.5,629,"{'latitude': 42.35020568362159, 'longitude': -71.04844640199286}",2
126,Buff's Pub,"['317 Washington St', 'Newton, MA 02458']",GHZ-EWQrVxKYDtt9ce82Og,4.0,464,"{'latitude': 42.35716, 'longitude': -71.186587}",2
127,Tavern at the End of the World,"['108 Cambridge St', 'Charlestown, MA 02129']",bqC8cTtPJmSAW6NUVHV9YQ,4.0,216,"{'latitude': 42.38218, 'longitude': -71.07938}",2
128,The Merchant,"['60 Franklin St', 'Boston, MA 02110']",ZzOD1ur-Hd4n4ts58w_OEg,3.5,348,"{'latitude': 42.355794, 'longitude': -71.058365}",2
129,Precinct Kitchen + Bar,"['154 Berkeley St', 'Boston, MA 02116']",itOs1rPS8j8sakiwsl1PEw,3.5,252,"{'latitude': 42.3488506867202, 'longitude': -71.0719430973949}",2
130,The Plough & Stars,"['912 Massachusetts Ave', 'Cambridge, MA 02139']",PKnj9SK8M9aSrWpf0rQtPg,4.0,309,"{'latitude': 42.3683197, 'longitude': -71.1086916}",2
131,Del Frisco's Double Eagle Steakhouse,"['250 Northern Ave', 'Ste 200', 'Boston, MA 02210']",T1wflZohQRZVb9SKQapfFA,3.5,1084,"{'latitude': 42.3489496, 'longitude': -71.038692}",4
132,Local 149,"['149 P St', 'Boston, MA 02127']",zEel4VKJtybhJurBaHbsuw,3.5,434,"{'latitude': 42.33312, 'longitude': -71.02732}",2
133,Hops N Scotch,"['1306 Beacon St', 'Brookline, MA 02446']",djb7jPPMwVOBfCE5K7Ilog,3.5,443,"{'latitude': 42.342624, 'longitude': -71.120666}",2
134,Cambridge Brewing Company,"['1 Kendall Sq', 'Bldg 100', 'Cambridge, MA 02139']",Bmvu1grPzxECp7dxm8zerA,3.5,794,"{'latitude': 42.366470060263, 'longitude': -71.0913371232944}",2
135,The Warren Tavern,"['2 Pleasant St', 'Charlestown, MA 02129']",8I2CBbVJnWS8w8OfkexE8g,4.0,484,"{'latitude': 42.37422, 'longitude': -71.06311}",2
136,The Abbey,"['1755 Massachusetts Ave', 'Cambridge, MA 02140']",oeGGj21XtuZTTIk3wRlCOw,4.0,236,"{'latitude': 42.3851057658005, 'longitude': -71.1191113498644}",2
